Name,Latitude,Longitude
Ichtershausen,50.883333,10.966667
Iglau_Jihlava,51.016667,13.5
Ilmenau,50.683333,10.9
Indien,20,77
Innsbruck,47.2667,11.4
Ir_Rabat,36.045278,14.241667
Istanbul,41.011046,28.957798
Italien,42.8333,12.8333
Itri,41.283333,13.533333
Itzing,48.816667,10.833333
Jersleben,52.25,11.583333
Jerusalem,31.7667,35.2333
Jesewitz,51.433333,12.5
Jessen,51.783333,12.95
Jesteburg,53.3,9.966667
Jettingen,48.3833,10.4333
Jever,53.583333,7.9
Jockgrim,49.098889,8.267778
Jonsdorf,50.85,14.7
Juebar,52.7,10.916667
Jungfernteinitz_Panensky_Tynec,50.3,13.9
Kaiserebersdorf,16.46153030000005,48.14857079999999
Kaisheim,48.766667,10.8
Kakerbeck,52.666667,11.283333
Kalabrien,39,16.5
Kalbe,52.65,11.4
Kalladorf,16.08355000000006,48.64292
Kallendorf_Chvalovice,16.082349300000033,48.7865768
Kaltenbrunn,50.25,11.25
Kamenitz_Kamenice,14.582427400000029,49.9015169
Kamien_Pomorski_Cammin_in_Pommern,53.966667,14.766667
Kampe,53.083333,7.833333
Kannawurf,51.266667,11.133333
Karlino_Koerlin,54.038189,15.876617
Kartuzy_Karthaus,54.35,18.1833
Kassel,51.316667,9.5
Kesselberg,50.083333,11.7
Kiel,54.333333,10.133333
Kilstett,48.675846,7.857598
Kindelbrueck,51.266667,11.083333
Kingston,52.166667,-.033333
Kingston_upon_Thames,51.4167,-.3
Kirch_Goens,50.466667,8.65
Kirchhain,50.816667,8.966667
Kirchheim_unter_Teck,48.65,9.45
Kirchwaerder_Zollenspieker,53.4,10.183333
Klausen,46.633333,11.566667
Kleinsteinbach,48.966667,8.55
Klempenow,53.8,13.316667
Kletzke,53,12.05
Kloster_Mansfeld,51.583333,11.5
Kniebis,48.466667,8.3
Kochel_am_See,47.666667,11.366667
Koeln,50.9333,6.6667
Koenigsborn,52.133333,11.766667
Koenigsdorf,47.816667,11.483333
Koenigslutter,52.25,10.816667
Koepenick_Berlin,52.45,13.566667
Koeslin,54.1667,16.1667
Koethen_Anhalt,51.75,11.966667
Kolin,50.0333,15.1833
Kollmann,48.566667,12
Komotau,50.45,13.4333
Korbach,51.283333,8.866667
Korneuburg,48.3667,16.3333
Koßdorf,51.5,13.233333
Kreppen,48.366667,10.783333
Kriegshaber,48.383333,10.85
Kruen,47.5,11.283333
Krummesse,53.783333,10.65
Kuchen,48.633333,9.8
Kuestrin_Kostrzyn_nad_Odra,52.587222,14.649722
Kuppenheim,48.833333,8.25
Kuttenberg_Kutna_Hora,49.95,15.25
Kyritz,52.95,12.4
La_Ferte_sous_Jouarre,48.951396,3.127242
La_Giudecca,45.433333,12.333333
La_Storta,42,12.383333
La_Wantzenau,48.658697,7.830566
Ladenburg,49.475,8.606944
Lago_Lucrino,40.816667,14.083333
Lago_d_Averno,40.833333,14.066667
Lago_di_Bolsena,42.6,11.933333
Landensberg,48.433333,10.533333
Landkreis_Neu-Ulm_Pfuhl,48.306389,10.152222
Landsberg,51.516667,12.166667
Landsberg_am_Lech,48.05,10.866667
Lang_Goens,50.5,8.666667
Langen,49.993333,8.672778
Langendorf,54.283333,13.016667
Langendorf_a,51.183333,11.966667
Langwedel,52.966667,9.216667
Langweid,48.483333,10.85
Lauenburg,53.366667,10.566667
Lauf_an_der_Pegnitz,49.510278,11.2775
Laun_Louny,50.3667,13.7833
Laun_Louny_a,50.3667,13.7833
Lauterbourg,48.973713,8.180405
Lavis,46.133333,11.116667
Laxenburg,48.0667,16.3667
Leeder,47.933333,10.833333
Lehre,52.333333,10.666667
Leiden,52.15,4.5
Leifers,46.433333,11.333333
Leipzig,51.3333,12.4167
Leitmeritz_Litomerice,50.55,14.1667
Lemgo,52.033333,8.9
Lenzen,53.083333,11.483333
Leonberg,48.8,9.016667
Letzlingen,52.433333,11.5
Leuben,51.01008359999999,13.830690600000025
Lichtenau,48.733333,8.016667
Lichtenau_NRW,51.616667,8.9
Lichtensee,51.383333,13.366667
Lingen,52.516667,7.316667
Linkenheim,49.1167,8.4167
Linkenheim_Hochstetten,49.137222,8.403333
Linum,52.766667,12.866667
Linx,48.616667,7.883333
Livorno,43.55,10.316667
Lizzana,45.85,11.05
Lobositz_Lovosice,50.513056,14.056667
Loecknitz,52.333333,12.933333
Loecknitz_a,53.45,14.216667
Loeningen,52.733333,7.766667
Loiano,44.266667,11.316667
Loitsche,52.3,11.7
Loitz,53.966667,13.133333
Lombardi,41.25,14.466667
London,51.514248,-.093145
Longobardi,39.2,16.066667
Lucca,43.8333,10.2167
Lucignano,43.266667,11.75
Luebberstedt,53.333333,8.8
Luebeck,53.866667,10.7
Luebz,53.45,12.033333
Luechow,52.966667,11.15
Luedershausen,53.35,10.45
Lueg,47.5667,13.2
Lueneburg,53.25,10.4
Luetzensoemmern,51.183333,10.883333
Luetzow,53.65,11.183333
Luhe_Wildenau,49.583333,12.15
