source,target,edgetype
https://d-nb.info/gnd/102111847,https://d-nb.info/gnd/100619258,Elternteil von
https://d-nb.info/gnd/102111847,https://d-nb.info/gnd/122871707,Elternteil von
https://d-nb.info/gnd/102111847,https://d-nb.info/gnd/117670170,Elternteil von
https://d-nb.info/gnd/123282659,https://d-nb.info/gnd/102111898,Elternteil von
https://d-nb.info/gnd/100014704,https://d-nb.info/gnd/104181982,Elternteil von
https://d-nb.info/gnd/104181982,https://d-nb.info/gnd/133098850,Elternteil von
https://d-nb.info/gnd/122803574,http://d-nb.info/gnd/1031462325,Elternteil von
https://d-nb.info/gnd/122803566,http://d-nb.info/gnd/1031462325,Elternteil von
http://d-nb.info/gnd/1031462325,https://d-nb.info/gnd/120063859,verheiratet mit
https://d-nb.info/gnd/121402371,https://d-nb.info/gnd/116678909,verheiratet mit
https://d-nb.info/gnd/119104385,http://d-nb.info/gnd/118863576,Elternteil von
http://d-nb.info/gnd/118863576,https://d-nb.info/gnd/123384664,verheiratet mit
https://d-nb.info/gnd/12026675X,http://d-nb.info/gnd/118734520,Elternteil von
http://d-nb.info/gnd/11858331X,https://d-nb.info/gnd/124131115,verheiratet mit
https://d-nb.info/gnd/11548597X,https://d-nb.info/gnd/1077256361,Elternteil von
https://d-nb.info/gnd/11548597X,https://d-nb.info/gnd/136724396,Elternteil von
https://d-nb.info/gnd/101740089X,https://d-nb.info/gnd/142601381,Elternteil von
https://d-nb.info/gnd/137982496,https://d-nb.info/gnd/1020050659,Elternteil von
https://d-nb.info/gnd/130335142,http://d-nb.info/gnd/104063343,Elternteil von
http://d-nb.info/gnd/1026547202,https://d-nb.info/gnd/103289329X,verheiratet mit
https://d-nb.info/gnd/118571869,https://d-nb.info/gnd/118927426,Elternteil von
https://d-nb.info/gnd/101026641,https://d-nb.info/gnd/118927426,Elternteil von
https://d-nb.info/gnd/101026641,https://d-nb.info/gnd/1019759852,Elternteil von
https://d-nb.info/gnd/1019759852,https://d-nb.info/gnd/118571869,verheiratet mit
http://d-nb.info/gnd/104196750,https://d-nb.info/gnd/132479680,Elternteil von
https://d-nb.info/gnd/118820206,https://d-nb.info/gnd/118820214,Elternteil von
https://d-nb.info/gnd/101053800,https://d-nb.info/gnd/118147587,Elternteil von
https://d-nb.info/gnd/121002594,https://d-nb.info/gnd/133262650,verheiratet mit
https://d-nb.info/gnd/121002594,https://d-nb.info/gnd/131500155,Elternteil von
https://d-nb.info/gnd/121002594,https://d-nb.info/gnd/1078905053,Elternteil von
https://d-nb.info/gnd/1016756046,http://d-nb.info/gnd/138693501,Elternteil von
https://d-nb.info/gnd/118742221,http://d-nb.info/gnd/118712411,Elternteil von
http://d-nb.info/gnd/118712411,https://d-nb.info/gnd/120100096,verheiratet mit
http://d-nb.info/gnd/118712411,https://d-nb.info/gnd/120091992,verheiratet mit
https://d-nb.info/gnd/118634895,http://d-nb.info/gnd/118742221,Elternteil von
https://d-nb.info/gnd/104085630,http://d-nb.info/gnd/118742221,Elternteil von
http://d-nb.info/gnd/118742221,https://d-nb.info/gnd/118712411,Elternteil von
http://d-nb.info/gnd/118742221,https://d-nb.info/gnd/11897131X,Elternteil von
http://d-nb.info/gnd/118742221,https://d-nb.info/gnd/101026641,Elternteil von
http://d-nb.info/gnd/118742221,https://d-nb.info/gnd/139996982,Elternteil von
http://d-nb.info/gnd/1115497693,https://d-nb.info/gnd/104259345,verheiratet mit
http://d-nb.info/gnd/104259345,https://d-nb.info/gnd/1115497693,verheiratet mit
https://d-nb.info/gnd/102117470,https://d-nb.info/gnd/118505084,Elternteil von
https://d-nb.info/gnd/120064847,https://d-nb.info/gnd/118505084,Elternteil von
https://d-nb.info/gnd/118505084,https://d-nb.info/gnd/118505092,Elternteil von
https://d-nb.info/gnd/118505084,https://d-nb.info/gnd/118584146,Elternteil von
https://d-nb.info/gnd/118505084,https://d-nb.info/gnd/102464294,Elternteil von
https://d-nb.info/gnd/118505084,https://d-nb.info/gnd/116712104,Elternteil von
https://d-nb.info/gnd/118505084,https://d-nb.info/gnd/1017622019,Elternteil von
https://d-nb.info/gnd/118505084,https://d-nb.info/gnd/141159928,Elternteil von
https://d-nb.info/gnd/118505084,http://d-nb.info/gnd/118505092,Elternteil von
https://d-nb.info/gnd/119337630,http://d-nb.info/gnd/118505092,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/11917426X,verheiratet mit
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/118647652,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/101420153,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/104176326,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/118703226,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/101251823,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/118640208,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/1017882010,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/1012457451,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/137353766,Elternteil von
